Jobtitle,Companyname,Locations,Skills
Senior Data Modeler (Banking Experience Required),BBI-Consultancy -,"Maadi, Cairo, Egypt ",Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Database · Engineering · Python · SQL · Programming · Data Warehousing
Linux Systems Administrator,HorizonTechs -,"Cairo, Egypt ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Linux · Python · System Administration · troubleshoot · Zabbix · Web Application · Network · Web Hosting
Javascript Engineer,Constructor -,"San Francisco, United States ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · engineer · Integrations · JavaScript · Computer Science · CSS · Design · Front end
Odoo Developer,Awamer Alshabaka _اوامر الشبكه -,"Mansoura, Dakahlia, Egypt ",Experienced · 2 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Computer Science · Engineering · Functional · Information Technology (IT) · Installation · Odoo
Odoo ERP Implementer,Confidential -,"Sheraton, Cairo, Egypt ",Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Odoo ERP · ERP Implementation · Accounting · Analysis · business · Computer Science · Finance · Implementation · Information Technology (IT)
Data Engineer,Coformatique -,"Cairo, Egypt ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Spark · kafka · Hive · Computer Engineering · Computer Science · Data Modeling · Information Technology (IT) · Programming
Software Engineer,LemonTree Labs -,"Downtown, Cairo, Egypt ",Entry Level · 1 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · REST · Database · Web Development · React.js · Python · Cloud Services · RESTful API · Node.js
Python Developer,Digizilla -,"Cairo, Egypt ",Entry Level · 0 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Django · Flask · Software Development · Information Technology (IT) · Python · Programming · JavaScript
System Administrator Title,Confidential -,"Heliopolis, Cairo, Egypt ",Experienced · 3 - 7 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Communication · Computer Science · Information Technology (IT) · Engineering · MCSA · networks · LAN
Odoo Developer,Al Hayat Capital -,"Mokattam, Cairo, Egypt ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Information Technology (IT) · Computer Science · Odoo · Python
Senior Odoo developer,Pure Group  -,"Cairo, Egypt ",Experienced · 3+ Yrs of Exp · IT/Software Development · HTML · CSS · JavaScript · jQuery · PostgreSQL · Xml Web Services · ERP System · ERP Software · Python
Data Analyst,ECC Group -,"Nasr City, Cairo, Egypt ",Experienced · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Analysis · BI · Computer Science · Data · Data Analysis · Data Management · Information Technology (IT) · Power BI
Senior Odoo Implementor,Xyris Digital Solutions  -,"Cairo, Egypt ",Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · business · Accounting · Computer Science · Business Analysis · Odoo · Information Technology (IT) · Engineering · Development
Mid-Senior Penetration Tester (Pen-Tester),Confidential -,"Riyadh, Saudi Arabia ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Linux · Network · Metasploit · Nmap · Penetration · Python · Security
Senior Data Engineer,Paymob Solutions -,"Maadi, Cairo, Egypt ",Experienced · 5 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering · Python · SQL · Database · Pandas · Computer Science · Programming · Software Development
IOT Process optimization consultant / 6 Months contract,Efada Technology -,"6th of October, Giza, Egypt ",Experienced · 5 - 10 Yrs of Exp · Engineering - Construction/Civil/Architecture · Hospitality/Hotels/Food Services · IT/Software Development · Data Science · phd · operations reasearch · Customer Operations Performance Centre · Research · MBA · Software Engineering
Senior NET Developer,Techsa -,"New Cairo, Cairo, Egypt ",Experienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · .Net · ASP.Net · MVC · OOP · Python · Software Development · C# · NoSQL Database
STEM Instructor/Teacher,TechAdemics -,"New Cairo, Cairo, Egypt ",Experienced · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Education/Teaching · Teaching · Computer Science · Education · Electronics · STEM · Programming · Robotics
Odoo Developer,Yodawy Med -,"Giza, Egypt ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Design · Git · HTML · Information Technology (IT) · JavaScript · Odoo · ORM
Senior Data Analyst,Al Ahly capital holding - Al Ahly Tamkeen -,"Zamalek, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · BI · Computer Science · Data · analytical · Information Technology (IT) · Reporting
Senior odoo developer,Algoriza -,"Giza, Egypt ",Experienced · 5 - 9 Yrs of Exp · IT/Software Development · CSS · Computer Science · HTML · front-end · Information Technology (IT) · JavaScript · Odoo · PostgreSQL · Programming
System Engineer,Teleperformance - Egypt -,"Katameya, Cairo, Egypt ",Experienced · 5 - 8 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · engineer · Computer Science · Information Technology (IT) · System engineer · system · Engineering
Integration Specialist,Confidential -,"Nasr City, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Information Technology (IT) · Integration · Java · JSON · ETL · Programming · JavaScript
Automation Engineer,Confidential -,"Beni Suef, Beni Suef, Egypt ",Experienced · 4 - 6 Yrs of Exp · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Automation · PLC · Installation · Information Technology (IT) · Engineering · Electrical Engineering · Python · Programming
Odoo Developer,MOTHOL -,"Nasr City, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · CSS · ERP · HTML · Information Technology (IT) · JavaScript · Linux · Odoo · PostgreSQL · Python
Odoo Developer,Mittal for Consultation -,"Maadi, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · Python · Information Technology (IT) · Computer Science · Agile · Software Development · CSS · HTML
Senior AI Engineer,Lumin -,"Sheikh Zayed, Giza, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · AI · Artificial Intelligence · Computer Vision · Machine Learning · TensorFlow · Python · Computer Science · Programming · PyTorch
Junior Software Tester,RDI -,"Dokki, Giza, Egypt ",Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Testing · Software Testing · QC · Quality Control · Automation Testing · API · JMeter
Data Analyst,Options -,"Cairo, Egypt ",Experienced · 3 - 10 Yrs of Exp · IT/Software Development · Marketing/PR/Advertising · Analyst/Research · Analysis · Analyst · Computer Science · Python · SQL · AWS · Information Technology (IT)
Django Developer,Confidential -,"Sheikh Zayed, Giza, Egypt ",Entry Level · 1 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · Python · Back-End Development · Amazon AWS · Computer Science · Engineering · CSS · Git
Data Analyst,Carina Wear -,"New Cairo, Cairo, Egypt ",Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Microsoft Power BI · business · Analysis · Computer Science · Big Data Analytics · Power BI
ICT/ Coding Teacher - 6 of October City,Confidential -,"6th of October, Giza, Egypt ",Experienced · 2 - 6 Yrs of Exp · Education/Teaching · Education · ICT · Computer Science · Teaching · Teacher · UK Curriculum · PGCE · python · JavaScript
BI Data Analyst,Confidential -,"Nasr City, Cairo, Egypt ",Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Analysis · BI Analyst · Data Analyst · excel · Power BI · Python · Data Analysis · Information Technology (IT)
Odoo Developer,Confidential -,"Cairo, Egypt ",Experienced · 7 - 15 Yrs of Exp · IT/Software Development · ERP · Odoo · PostgreSQL · Python · Software Development · Information Technology (IT) · XML · Programming · Computer Science
AI Data Science and Machine Learning Instructor,CLS Learning Solutions -,"Dokki, Giza, Egypt ",Experienced · 3 - 15 Yrs of Exp · Training/Instructor · Machine Learning · AI · Deep Learning · Data Science · Python · Natural Language Processing · Neural Networks · Training · Teaching
Odoo Developer,Trio M Smart Solutions  -,"Cairo, Egypt ",Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · JavaScript · Python · XML · PostgreSQL
Software Engineer,R.D.T Sports Equipment Trading EST -,"Alexandria, Egypt ",Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · ERP · Software · Software Development · Computer Science · Engineering · CSS · Information Technology (IT) · Programming
Linux System Administrator/ Integrator,Confidential -,"Smart Village, Giza, Egypt ",Experienced · 1 - 3 Yrs of Exp · IT/Software Development · Linux · Python · System Administration
Machine Learning Engineer,Citylogix ME -,"New Cairo, Cairo, Egypt ",Experienced · 7 - 11 Yrs of Exp · IT/Software Development · Engineering · Deep Learning · Computer Science · Programming · Python · TensorFlow · PyTorch · Data visualization
Data Scientist,BBI-Consultancy -,"Nasr City, Cairo, Egypt ",Experienced · 4+ Yrs of Exp · IT/Software Development · Computer Science · Data Analytics · Data Science · Data · data scientist · Information Technology (IT) · Mathematics · Science · Python
Data Scientist,Wakeb Data -,"Mohandessin, Giza, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · data scientist · Python
Senior Backend Developer,Fox Soft -,"San Stefano, Alexandria, Egypt ",Senior Management · 3 - 5 Yrs of Exp · IT/Software Development · PHP · Python · Information Technology (IT) · MySQL · Software · Software Development
Front-End Developer,Shebak -,"Smart Village, Giza, Egypt ",Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Odoo · javaScript · Git · Linux · Information Technology (IT) · Troubleshooting · SQL
DevOps Engineer,Softec Technologies -,"Maadi, Cairo, Egypt ",Experienced · 3 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · DevOps · Information Technology (IT) · Java · Software Development · Unix · Azure · Engineering
AI Engineer,Paxerahealth Corp -,"Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · C++ · AI · Computer Science · Information Technology (IT) · Machine Learning · Programming · Frameworks · Artificial Intelligence
Senior Developer - Enterprise Software,eT3 - Tomorrow Information Technology -,"New Cairo, Cairo, Egypt ",Experienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Fullstack · Frontend Development · HTML · CSS · javaScript · Backend Development
Senior Odoo Developer,Beyond Insurance Brokerage -,"Maadi, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · JavaScript · Python · Scrum · Odoo Development · Odoo · CSS · HTML
Senior Odoo Developer,Confidential -,"Nasr City, Cairo, Egypt ",Experienced · 7 - 10 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Odoo · Information Technology (IT) · ERP · Odoo ERP · Accounting · Computer Science · Odoo Development
Computer Vision Engineer,RTR Software Solutions  -,"Nasr City, Cairo, Egypt ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · English · technical · Engineering · Communication skills · Python · Computer Vision · NLP · yolo
Senior Odoo Developer,OdooTec -,"New Cairo, Cairo, Egypt ",Experienced · 5 - 7 Yrs of Exp · IT/Software Development · Python · Information Technology (IT) · Software Development · HTML · ERP · Odoo · Computer Science · Agile · CSS
Senior Backend Developer,Pioneers Now -,"Nasr City, Cairo, Egypt ",Experienced · 5+ Yrs of Exp · Business Development · IT/Software Development · Software · backend · Computer Science · Design · Engineering · Information Technology (IT) · Python · Software Engineering
Business Analyst Manager,Aqarmap.com -,"Nasr City, Cairo, Egypt ",Manager · 3 - 7 Yrs of Exp · Business Development · Operations/Management · Analyst/Research · Analysis · Economics · Market Research · Communication skills · Business Development · Marketing Research · Research Analysis
Senior .NET Full Stack Developer (.NET Core & Angular),Lumin -,"Sheikh Zayed, Giza, Egypt ",Experienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · ASP.NET · ADO.NET · C#.Net · .NET · .NEt Full Stack Developer · Full Stack Developer · java · Python
Machine Learning Engineer,WUZZUF -,"Maadi, Cairo, Egypt ",Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · ElasticSearch · Machine Learning · Web Development · Pandas · Information Retrieval · Recommender Systems
"Senior System Engineer ""German Speaker""",TRIMETIS -,"Cairo, Egypt ",Experienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · JIRA · Zabbix · Ansible · Python · Bash · Docker · german · English
Intelligence Analyst (Hybrid),PINKERTON | Comprehensive Risk Management -,"Dubai, United Arab Emirates ",Experienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Business Analysis · Business Intelligence · Computer Science · Information Technology (IT) · Analysis · Engineering · SQL
Part Time/Full Time Remote Data Entry Clerk,"MAN, Technology, Environment -","Dubai, United Arab Emirates ",Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · computer science · information technology (it) · computer engineering · python · data entry · microsoft office · operations
"Node JS with Golang, React",ParamInfo -,"Dubai, United Arab Emirates ",Not specified · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Development · javaScript · HTML · React · CSS · Front-End
Reliability Engineer I,North Oil Company Qatar -,"Doha, Qatar ",Entry Level · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Computer Science · Information Technology (IT) · Java · Python · AWS · Software Engineering
Full-Time/Part-Time Remote Data Entry Clerk,Coffee News of Durham-RTP and Morrisville -,"Riyadh, Saudi Arabia ",Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · computer science · information technology (it) · computer engineering · python · data entry · microsoft office · communication skills
Data Analyst,Truelancer.com -,"Riyadh, Saudi Arabia ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel
Data Analyst-,PayTech Group -,"Dubai, United Arab Emirates ",Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel
Learning & Development Manager,Noon - The Social Learning Platform -,"Riyadh, Saudi Arabia ",Experienced · IT/Software Development · Engineering - Telecom/Technology · Education/Teaching · Education · Learning · Training · Information Technology (IT) · Computer Science · Teaching · E-Learning
Junior Business Intelligence Analyst (Remote),Kreativstorm -,"Dubai, United Arab Emirates ",Experienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Business Analysis · Engineering · BI · Python · SQL
Data Engineer,Procter & Gamble -,"Dubai, United Arab Emirates ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Computer Engineering · Engineering · Software Engineering · Software Development · SQL
Data Scientist,Foreground. -,"Riyadh, Saudi Arabia ",Experienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · SQL · Data Science · Data Scientist · Machine Learning
Part Time/Full Time Remote Data Entry Clerk,Coffee News of Durham-RTP and Morrisville -,"Riyadh, Saudi Arabia ",Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · computer science · information technology (it) · computer engineering · python · data entry · microsoft office · operations
Data Scientist,SupportFinity™ -,"Dubai, United Arab Emirates ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · SQL · Data Science · Data Scientist · Machine Learning
Backend Tech Lead,Snoonu -,"Doha, Qatar ",Experienced · Engineering - Construction/Civil/Architecture · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · javaScript · PHP · Software Engineering · Python
Data Analyst,Blue Iris -,"Dubai, United Arab Emirates ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel
Data Analyst,Bayut KSA -,"Riyadh, Saudi Arabia ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel
Learning & Development Digitalization Manager,Almarai - المراعي -,"Riyadh, Saudi Arabia ",Entry Level · IT/Software Development · Engineering - Telecom/Technology · Education/Teaching · Education · Learning · Training · Information Technology (IT) · Computer Science · Teaching · E-Learning
Organizational Development Lead,Golf Saudi -,"Riyadh, Saudi Arabia ",Entry Level · Human Resources · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · javaScript · Computer Engineering · Engineering
Data Analyst,HALA -,"Riyadh, Saudi Arabia ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel
Data Analyst,talabat -,"Kuwait City, Kuwait ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel
Coders - AI Training [Remote],Braintrust -,"Riyadh, Saudi Arabia ",Entry Level · Administration · IT/Software Development · Engineering - Telecom/Technology · information technology (it) · computer science · javascript · engineering · html · coding · php
Process Engineer,SABIC -,"Riyadh, Saudi Arabia ",Experienced · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Computer Science · Information Technology (IT) · Mechanical Engineering · Production · Software Engineering · Software Development
Advanced Offensive Cyber Operations Instructor,"Silotech Group, Inc -","Dubai, United Arab Emirates ",Entry Level · IT/Software Development · Engineering - Telecom/Technology · Training/Instructor · computer science · information technology (it) · computer engineering · electrical engineering · linux · python · cyber security
Linux Admin-Riyadh,eTeam -,"Dubai, United Arab Emirates ",Experienced · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Linux · Computer Science · MySQL · System Administration · CentOS · PHP
Remote Virtual Data Input Clerk: Remote Work,Theaterbrigade -,"Dubai, United Arab Emirates ",Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · computer science · information technology (it) · computer engineering · python · software · microsoft office · management
AI Engineer - Saudi Arabia,Yeah! Global -,"Riyadh, Saudi Arabia ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · AI · Information Technology (IT) · Computer Science · Engineering · Python · Software Engineering · NLP
AI Engineer - UAE,Yeah! Global -,"Dubai, United Arab Emirates ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · AI · Information Technology (IT) · Computer Science · Engineering · Python · Software Engineering · NLP
Data Analyst,Colleges of Excellence -,"Riyadh, Saudi Arabia ",Experienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel
Blockchain Developer - Saudi Arabia,Yeah! Global -,"Riyadh, Saudi Arabia ",Entry Level · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Software Development · Blockchain · Computer Science · Software Engineering · Engineering · ASP.NET
Senior Data Scientist - 1 year FTC - Saudi Arabia relocation,Fathom.io -,"Riyadh, Saudi Arabia ",Experienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · SQL · Python · Engineering · Data Analysis · Software Development
Frappe developer,Dynamic Technology -,"Nasr City, Cairo, Egypt ",Experienced · 1 - 5 Yrs of Exp · IT/Software Development · Information Technology (IT) · Software Development · Finance
Senior Odoo Developer,Confidential -,"Cleopatra, Alexandria, Egypt ",Experienced · 1 - 4 Yrs of Exp · Administration · IT/Software Development · Odoo · Programming · Software Development · Software
Certified Odoo Developer,Confidential -,"Baghdad, Iraq ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo Development · Odoo ERP · Information Technology (IT)
Senior DevOps Engineer,Al Ahly Momkn for e-payment -,"Maadi, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Jenkins · Software Development · Kubernetes
Full Stack Developer,Visit Ventures -,"New Cairo, Cairo, Egypt ",Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Computer Science · PHP
Quality Assurance tester,Partner & More -,"New Cairo, Cairo, Egypt ",Experienced · 2 - 7 Yrs of Exp · IT/Software Development · Quality · QA · JIRA · Bugzilla · Quality Assurance · Cypress · Selenium · React Native · Firebase
Senior Data Analyst,Goldentex -,"10th of Ramadan City, Sharqia, Egypt ",Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · BI · Analysis · Computer Science · Data Analysis · Engineering · Information Technology (IT) · Power BI
Senior Full Stack Developer,Ibn Sina Pharma -,"Maadi, Cairo, Egypt ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Computer Science · React · HTML · .Net · Node.js · CSS · JavaScript
IT system Administrator,Eduhive -,"Bolkly, Alexandria, Egypt ",Experienced · 2 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · computer · Networks · Computer Engineering · Engineering · Network
Programming Trainer (Applications & Websites),GB Corp -,"6th of October, Giza, Egypt ",Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Training/Instructor · Instructor · Training · Oracle · Microsoft SQL Server
Full Stack Team Lead,Salem Ventures -,"Maadi, Cairo, Egypt ",Manager · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Full Stack · Computer Science · Information Technology (IT) · JavaScript · React · Java · CSS · Software Development
System Administrator,Danat Travels  -,"Nasr City, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · males_only · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Software · Communication · computer · Computer Science · Databases · Help desk · Information technology
Senior Full Stack Developer,PACK ‘N’ MOVE LOGISTICS  -,"Heliopolis, Cairo, Egypt ",Experienced · 3+ Yrs of Exp · IT/Software Development · Angular · Computer Science · CSS · Full Stack · Software Development · HTML · Information Technology (IT) · Java · JavaScript
Web Development & Programming Teacher (Various Locations inside Egypt),Confidential -,"Cairo, Egypt ",Entry Level · 1 - 4 Yrs of Exp · Education/Teaching · Computer Science · Information Technology (IT) · Programming · Web Development · Education · PHP Web Development
Full Stack Web Developer,Generator -,"Heliopolis, Cairo, Egypt ",Experienced · 4 - 12 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Full Stack · Laravel Framework · Web Development
Smart Home Devices - IOT Team Leader,Confidential -,"Mansoura, Dakahlia, Egypt ",Experienced · 3 - 10 Yrs of Exp · Engineering - Construction/Civil/Architecture · IT/Software Development · Engineering - Mechanical/Electrical · Electrical Engineering · Smart Home · Programming · Computer Science · Automation · Customer Service · Engineering
Full Stack Developer,Al Shabab Al Tamoheen -,"Jeddah, Saudi Arabia ",Experienced · 3 - 20 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · JavaScript · Full Stack · Angular · Computer Science · CSS · HTML · Information Technology (IT) · Java
Senior Devops Engineer,Confidential -,"Alexandria, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · DevOps · Information Technology (IT) · Docker · Cloud
Data Annotation Team Lead,Eg Insurtech -,"Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Computer Science · data labeling · English · Skills · Software Engineering · #data · Artificial Intelligence
web developer and PHP,souq.co -,"New Cairo, Cairo, Egypt ",Experienced · 1 - 15 Yrs of Exp · IT/Software Development · HTML · JavaScript · PHP · MySQL · Information Technology (IT) · Git · Computer Science · Angular · Software Development
Junior MERN Full Stack Developer,Salem Ventures -,"Maadi, Cairo, Egypt ",Experienced · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Angular · CSS · Full Stack · Software Development · HTML · Information Technology (IT) · Java
Unreal Engine Programmer,Wakeb Data -,"Mohandessin, Giza, Egypt ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Computer Science · Simulation · Programming · Unreal Engine · Game development · Sensors · c++
Senior MERN Full Stack Developer,Salem Ventures -,"Maadi, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Computer Science · CSS · Full Stack · Information Technology (IT) · Java · JavaScript · React
Senior Full Stack Java Developer,MTS-IT -,"Maadi, Cairo, Egypt ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · SQL · J2EE · JSP · JSF · Software Development · Web Development · Computer Science · Information Technology (IT)
