skill,count
Information Technology (IT),1
Python,1
Instructor,1
Experienced,1
5 - 8 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
React,1
Django,1
Full Stack Development,1
Information Technology (IT),1
Computer Science,1
RESTful API,1
Microservice Architecture,1
Database Systems,1
Entry Level,1
2+ Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Python,1
Django,1
Flask,1
Python Scripting,1
Web Scraping,1
WWeb Scraping,1
CI,1
Computer Science,1
Entry Level,1
1 - 3 Yrs of Exp,1
Business Development,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Python,1
MySQL,1
JavaScript,1
React,1
Angular,1
RESTful,1
Django,1
Manager,1
8 - 15 Yrs of Exp,1
IT/Software Development,1
Operations/Management,1
Engineering - Telecom/Technology,1
Python Django,1
React Native,1
Node.js,1
Continues Integration (CI),1
Continuous Delivery (CD),1
DevOps,1
Github Actions,1
Entry Level,1
0 - 3 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Computer Science,1
Django,1
Flask,1
Software Development,1
Information Technology (IT),1
Python,1
Programming,1
JavaScript,1
Manager,1
7 - 15 Yrs of Exp,1
IT/Software Development,1
Analyst/Research,1
Engineering - Telecom/Technology,1
Analysis,1
business,1
Computer Engineering,1
Computer Science,1
Data Analysis,1
Engineering,1
Microsoft Excel,1
Experienced,1
3 - 10 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Odoo,1
Information Technology (IT),1
Python,1
Agile,1
ERP,1
PostgreSQL,1
Programming,1
Experienced,1
2 - 3 Yrs of Exp,1
IT/Software Development,1
Computer Science,1
Machine Learning,1
LLM,1
Automation,1
Python,1
Experienced,1
2 - 5 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Linux,1
Python,1
System Administration,1
troubleshoot,1
Zabbix,1
Web Application,1
Network,1
Web Hosting,1
Experienced,1
2 - 3 Yrs of Exp,1
Installation/Maintenance/Repair,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Computer Engineering,1
Computer Science,1
Engineering,1
Functional,1
Information Technology (IT),1
Installation,1
Odoo,1
Experienced,1
3 - 5 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Software Development,1
engineer,1
Integrations,1
JavaScript,1
Computer Science,1
CSS,1
Design,1
Front end,1
Entry Level,1
1 - 3 Yrs of Exp,1
IT/Software Development,1
Odoo ERP,1
ERP Implementation,1
Accounting,1
Analysis,1
business,1
Computer Science,1
Finance,1
Implementation,1
Information Technology (IT),1
Experienced,1
2 - 5 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Spark,1
kafka,1
Hive,1
Computer Engineering,1
Computer Science,1
Data Modeling,1
Information Technology (IT),1
Programming,1
Entry Level,1
1 - 4 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
REST,1
Database,1
Web Development,1
React.js,1
Python,1
Cloud Services,1
RESTful API,1
Node.js,1
Experienced,1
3 - 7 Yrs of Exp,1
Installation/Maintenance/Repair,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Communication,1
Computer Science,1
Information Technology (IT),1
Engineering,1
MCSA,1
networks,1
LAN,1
Experienced,1
3+ Yrs of Exp,1
IT/Software Development,1
HTML,1
CSS,1
JavaScript,1
jQuery,1
PostgreSQL,1
Xml Web Services,1
ERP System,1
ERP Software,1
Python,1
Experienced,1
2 - 5 Yrs of Exp,1
IT/Software Development,1
Information Technology (IT),1
Computer Science,1
Odoo,1
Python,1
Experienced,1
1 - 3 Yrs of Exp,1
IT/Software Development,1
Analyst/Research,1
Analysis,1
BI,1
Computer Science,1
Data,1
Data Analysis,1
Data Management,1
Information Technology (IT),1
Power BI,1
Experienced,1
2 - 5 Yrs of Exp,1
IT/Software Development,1
Quality,1
Engineering - Telecom/Technology,1
Linux,1
Network,1
Metasploit,1
Nmap,1
Penetration,1
Python,1
Security,1
Experienced,1
3+ Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
business,1
Accounting,1
Computer Science,1
Business Analysis,1
Odoo,1
Information Technology (IT),1
Engineering,1
Development,1
Experienced,1
5 - 6 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Engineering,1
Python,1
SQL,1
Database,1
Pandas,1
Computer Science,1
Programming,1
Software Development,1
Experienced,1
5 - 10 Yrs of Exp,1
Engineering - Construction/Civil/Architecture,1
Hospitality/Hotels/Food Services,1
IT/Software Development,1
Data Science,1
phd,1
operations reasearch,1
Customer Operations Performance Centre,1
Research,1
MBA,1
Software Engineering,1
Experienced,1
4 - 6 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
.Net,1
ASP.Net,1
MVC,1
OOP,1
Python,1
Software Development,1
C#,1
NoSQL Database,1
Experienced,1
1 - 3 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Education/Teaching,1
Teaching,1
Computer Science,1
Education,1
Electronics,1
STEM,1
Programming,1
Robotics,1
Experienced,1
2 - 5 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Computer Science,1
Design,1
Git,1
HTML,1
Information Technology (IT),1
JavaScript,1
Odoo,1
ORM,1
Experienced,1
3 - 5 Yrs of Exp,1
IT/Software Development,1
Analyst/Research,1
Engineering - Telecom/Technology,1
Analysis,1
BI,1
Computer Science,1
Data,1
analytical,1
Information Technology (IT),1
Reporting,1
Experienced,1
5 - 9 Yrs of Exp,1
IT/Software Development,1
CSS,1
Computer Science,1
HTML,1
front-end,1
Information Technology (IT),1
JavaScript,1
Odoo,1
PostgreSQL,1
Programming,1
Experienced,1
5 - 8 Yrs of Exp,1
Installation/Maintenance/Repair,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Computer Engineering,1
engineer,1
Computer Science,1
Information Technology (IT),1
System engineer,1
system,1
Engineering,1
Experienced,1
3 - 5 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Computer Engineering,1
Information Technology (IT),1
Integration,1
Java,1
JSON,1
ETL,1
Programming,1
JavaScript,1
Experienced,1
4 - 6 Yrs of Exp,1
Installation/Maintenance/Repair,1
Engineering - Mechanical/Electrical,1
Automation,1
PLC,1
Installation,1
Information Technology (IT),1
Engineering,1
Electrical Engineering,1
Python,1
Programming,1
Experienced,1
4 - 6 Yrs of Exp,1
Business Development,1
IT/Software Development,1
Engineering - Telecom/Technology,1
MySQL,1
PHP,1
Software Development,1
Software Engineering,1
Computer Science,1
Development,1
Information Technology (IT),1
Experienced,1
3 - 5 Yrs of Exp,1
IT/Software Development,1
CSS,1
ERP,1
HTML,1
Information Technology (IT),1
JavaScript,1
Linux,1
Odoo,1
PostgreSQL,1
Python,1
Experienced,1
3 - 5 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Odoo,1
Python,1
Information Technology (IT),1
Computer Science,1
Agile,1
Software Development,1
CSS,1
HTML,1
Experienced,1
5 - 20 Yrs of Exp,1
IT/Software Development,1
Senior Python Developer,1
Python,1
Django,1
Flask,1
RESTful APIs,1
PostgreSQL,1
MySQL,1
Docker,1
Kubernetes,1
Experienced,1
4 - 7 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
DevOps,1
API,1
Python,1
Experienced,1
3 - 6 Yrs of Exp,1
IT/Software Development,1
Django,1
API,1
AI,1
Data Processing,1
Computer Science,1
Docker,1
Engineering,1
Information Technology (IT),1
MongoDB,1
Experienced,1
3 - 5 Yrs of Exp,1
IT/Software Development,1
AI,1
Artificial Intelligence,1
Computer Vision,1
Machine Learning,1
TensorFlow,1
Python,1
Computer Science,1
Programming,1
PyTorch,1
Entry Level,1
1 - 3 Yrs of Exp,1
IT/Software Development,1
Quality,1
Engineering - Telecom/Technology,1
Testing,1
Software Testing,1
QC,1
Quality Control,1
Automation Testing,1
API,1
JMeter,1
Experienced,1
3 - 10 Yrs of Exp,1
IT/Software Development,1
Marketing/PR/Advertising,1
Analyst/Research,1
Analysis,1
Analyst,1
Computer Science,1
Python,1
SQL,1
AWS,1
Information Technology (IT),1
Entry Level,1
1 - 4 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Django,1
Python,1
Back-End Development,1
Amazon AWS,1
Computer Science,1
Engineering,1
CSS,1
Git,1
Entry Level,1
1 - 3 Yrs of Exp,1
IT/Software Development,1
Analyst/Research,1
Engineering - Telecom/Technology,1
Data Analysis,1
Microsoft Power BI,1
business,1
Analysis,1
Computer Science,1
Big Data Analytics,1
Power BI,1
Experienced,1
2 - 6 Yrs of Exp,1
Education/Teaching,1
Education,1
ICT,1
Computer Science,1
Teaching,1
Teacher,1
UK Curriculum,1
PGCE,1
python,1
JavaScript,1
Entry Level,1
1 - 3 Yrs of Exp,1
IT/Software Development,1
Analyst/Research,1
Analysis,1
BI Analyst,1
Data Analyst,1
excel,1
Power BI,1
Python,1
Data Analysis,1
Information Technology (IT),1
Experienced,1
7 - 15 Yrs of Exp,1
IT/Software Development,1
ERP,1
Odoo,1
PostgreSQL,1
Python,1
Software Development,1
Information Technology (IT),1
XML,1
Programming,1
Computer Science,1
Experienced,1
3 - 15 Yrs of Exp,1
Training/Instructor,1
Machine Learning,1
AI,1
Deep Learning,1
Data Science,1
Python,1
Natural Language Processing,1
Neural Networks,1
Training,1
Teaching,1
Experienced,1
2 - 4 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Computer Science,1
Information Technology (IT),1
JavaScript,1
Python,1
XML,1
PostgreSQL,1
Experienced,1
3+ Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
ERP,1
Software,1
Software Development,1
Computer Science,1
Engineering,1
CSS,1
Information Technology (IT),1
Programming,1
Experienced,1
1 - 3 Yrs of Exp,1
IT/Software Development,1
Linux,1
Python,1
System Administration,1
Experienced,1
7 - 11 Yrs of Exp,1
IT/Software Development,1
Engineering,1
Deep Learning,1
Computer Science,1
Programming,1
Python,1
TensorFlow,1
PyTorch,1
Data visualization,1
Experienced,1
4+ Yrs of Exp,1
IT/Software Development,1
Computer Science,1
Data Analytics,1
Data Science,1
Data,1
data scientist,1
Information Technology (IT),1
Mathematics,1
Science,1
Python,1
Experienced,1
3 - 5 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Computer Science,1
data scientist,1
Python,1
Senior Management,1
3 - 5 Yrs of Exp,1
IT/Software Development,1
PHP,1
Python,1
Information Technology (IT),1
MySQL,1
Software,1
Software Development,1
Entry Level,1
1 - 3 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Python,1
Odoo,1
javaScript,1
Git,1
Linux,1
Information Technology (IT),1
Troubleshooting,1
SQL,1
Experienced,1
3 - 3 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Computer Science,1
DevOps,1
Information Technology (IT),1
Java,1
Software Development,1
Unix,1
Azure,1
Engineering,1
Experienced,1
3 - 5 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
C++,1
AI,1
Computer Science,1
Information Technology (IT),1
Machine Learning,1
Programming,1
Frameworks,1
Artificial Intelligence,1
Experienced,1
4+ Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Information Technology (IT),1
Computer Science,1
Fullstack,1
Frontend Development,1
HTML,1
CSS,1
javaScript,1
Backend Development,1
Experienced,1
3 - 5 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Agile,1
JavaScript,1
Python,1
Scrum,1
Odoo Development,1
Odoo,1
CSS,1
HTML,1
Experienced,1
7 - 10 Yrs of Exp,1
Installation/Maintenance/Repair,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Odoo,1
Information Technology (IT),1
ERP,1
Odoo ERP,1
Accounting,1
Computer Science,1
Odoo Development,1
Experienced,1
2 - 5 Yrs of Exp,1
IT/Software Development,1
English,1
technical,1
Engineering,1
Communication skills,1
Python,1
Computer Vision,1
NLP,1
yolo,1
Experienced,1
5 - 7 Yrs of Exp,1
IT/Software Development,1
Python,1
Information Technology (IT),1
Software Development,1
HTML,1
ERP,1
Odoo,1
Computer Science,1
Agile,1
CSS,1
Experienced,1
5+ Yrs of Exp,1
Business Development,1
IT/Software Development,1
Software,1
backend,1
Computer Science,1
Design,1
Engineering,1
Information Technology (IT),1
Python,1
Software Engineering,1
Manager,1
3 - 7 Yrs of Exp,1
Business Development,1
Operations/Management,1
Analyst/Research,1
Analysis,1
Economics,1
Market Research,1
Communication skills,1
Business Development,1
Marketing Research,1
Research Analysis,1
Experienced,1
4+ Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
ASP.NET,1
ADO.NET,1
C#.Net,1
.NET,1
.NEt Full Stack Developer,1
Full Stack Developer,1
java,1
Python,1
Experienced,1
2 - 4 Yrs of Exp,1
IT/Software Development,1
Analyst/Research,1
Engineering - Telecom/Technology,1
Python,1
ElasticSearch,1
Machine Learning,1
Web Development,1
Pandas,1
Information Retrieval,1
Recommender Systems,1
Experienced,1
5 - 7 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
JIRA,1
Zabbix,1
Ansible,1
Python,1
Bash,1
Docker,1
german,1
English,1
Entry Level,1
Education/Teaching,1
Training/Instructor,1
AI,1
Electronics,1
Engineering,1
Python,1
Robotics,1
Instructor,1
Education,1
Teaching,1
Experienced,1
1 - 3 Yrs of Exp,1
Installation/Maintenance/Repair,1
IT/Software Development,1
Engineering - Telecom/Technology,1
business,1
Communication skills,1
Computer Science,1
Information Technology (IT),1
Odoo,1
Python,1
Entry Level,1
1 - 2 Yrs of Exp,1
Installation/Maintenance/Repair,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Computer Science,1
Development,1
ERP,1
Information Technology (IT),1
Odoo Development,1
Odoo Modules,1
Python,1
Experienced,1
3 - 6 Yrs of Exp,1
Accounting/Finance,1
Business Development,1
IT/Software Development,1
Computer Science,1
Python,1
Software Development,1
Software Engineering,1
Programming,1
Odoo,1
Odoo ERP,1
Experienced,1
3 - 5 Yrs of Exp,1
IT/Software Development,1
Computer Science,1
developer,1
Information Technology (IT),1
PHP developer,1
PHP,1
senior,1
Software Development,1
Software Engineering,1
Python,1
Entry Level,1
0 - 3 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Software Development,1
Information Technology (IT),1
MEAN Stack,1
Mobile Development,1
Objective-C,1
Software Design,1
Web Development,1
Web Design,1
Not specified,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Engineering - Mechanical/Electrical,1
computer science,1
information technology (it),1
computer engineering,1
python,1
data entry,1
microsoft office,1
operations,1
Not specified,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Computer Science,1
Information Technology (IT),1
Software Development,1
javaScript,1
HTML,1
React,1
CSS,1
Front-End,1
Entry Level,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Engineering - Mechanical/Electrical,1
Engineering,1
Computer Science,1
Information Technology (IT),1
Java,1
Python,1
AWS,1
Software Engineering,1
Not specified,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Engineering - Mechanical/Electrical,1
computer science,1
information technology (it),1
computer engineering,1
python,1
data entry,1
microsoft office,1
communication skills,1
Entry Level,1
IT/Software Development,1
Analyst/Research,1
Engineering - Telecom/Technology,1
Data Analysis,1
Analysis,1
Computer Science,1
Information Technology (IT),1
SQL,1
Microsoft Office,1
Microsoft Excel,1
Not specified,1
IT/Software Development,1
Analyst/Research,1
Engineering - Telecom/Technology,1
Data Analysis,1
Analysis,1
Computer Science,1
Information Technology (IT),1
SQL,1
Microsoft Office,1
Microsoft Excel,1
Experienced,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Education/Teaching,1
Education,1
Learning,1
Training,1
Information Technology (IT),1
Computer Science,1
Teaching,1
E-Learning,1
Experienced,1
IT/Software Development,1
Analyst/Research,1
Engineering - Telecom/Technology,1
Computer Science,1
Information Technology (IT),1
Business Analysis,1
Engineering,1
BI,1
Python,1
SQL,1
Experienced,1
IT/Software Development,1
Analyst/Research,1
Engineering - Telecom/Technology,1
Python,1
Computer Science,1
Information Technology (IT),1
SQL,1
Data Science,1
Data Scientist,1
Machine Learning,1
Entry Level,1
IT/Software Development,1
Analyst/Research,1
Engineering - Telecom/Technology,1
Information Technology (IT),1
Computer Science,1
Computer Engineering,1
Engineering,1
Software Engineering,1
Software Development,1
SQL,1
Not specified,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Engineering - Mechanical/Electrical,1
computer science,1
information technology (it),1
computer engineering,1
python,1
data entry,1
microsoft office,1
operations,1
Entry Level,1
IT/Software Development,1
Analyst/Research,1
Engineering - Telecom/Technology,1
Python,1
Computer Science,1
Information Technology (IT),1
SQL,1
Data Science,1
Data Scientist,1
Machine Learning,1
Experienced,1
Engineering - Construction/Civil/Architecture,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Information Technology (IT),1
Computer Science,1
Software Development,1
javaScript,1
PHP,1
Software Engineering,1
Python,1
Entry Level,1
IT/Software Development,1
Analyst/Research,1
Engineering - Telecom/Technology,1
Data Analysis,1
Analysis,1
Computer Science,1
Information Technology (IT),1
SQL,1
Microsoft Office,1
Microsoft Excel,1
Entry Level,1
IT/Software Development,1
Analyst/Research,1
Engineering - Telecom/Technology,1
Data Analysis,1
Analysis,1
Computer Science,1
Information Technology (IT),1
SQL,1
Microsoft Office,1
Microsoft Excel,1
Entry Level,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Education/Teaching,1
Education,1
Learning,1
Training,1
Information Technology (IT),1
Computer Science,1
Teaching,1
E-Learning,1
Entry Level,1
Human Resources,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Information Technology (IT),1
Computer Science,1
Software Development,1
Software Engineering,1
javaScript,1
Computer Engineering,1
Engineering,1
Entry Level,1
IT/Software Development,1
Analyst/Research,1
Engineering - Telecom/Technology,1
Data Analysis,1
Analysis,1
Computer Science,1
Information Technology (IT),1
SQL,1
Microsoft Office,1
Microsoft Excel,1
Entry Level,1
IT/Software Development,1
Analyst/Research,1
Engineering - Telecom/Technology,1
Data Analysis,1
Analysis,1
Computer Science,1
Information Technology (IT),1
SQL,1
Microsoft Office,1
Microsoft Excel,1
Entry Level,1
Administration,1
IT/Software Development,1
Engineering - Telecom/Technology,1
information technology (it),1
computer science,1
javascript,1
engineering,1
html,1
coding,1
php,1
Experienced,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Engineering - Mechanical/Electrical,1
Engineering,1
Computer Science,1
Information Technology (IT),1
Mechanical Engineering,1
Production,1
Software Engineering,1
Software Development,1
Entry Level,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Training/Instructor,1
computer science,1
information technology (it),1
computer engineering,1
electrical engineering,1
linux,1
python,1
cyber security,1
Experienced,1
Installation/Maintenance/Repair,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Information Technology (IT),1
Linux,1
Computer Science,1
MySQL,1
System Administration,1
CentOS,1
PHP,1
Not specified,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Engineering - Mechanical/Electrical,1
computer science,1
information technology (it),1
computer engineering,1
python,1
software,1
microsoft office,1
management,1
Entry Level,1
IT/Software Development,1
Analyst/Research,1
Engineering - Telecom/Technology,1
AI,1
Information Technology (IT),1
Computer Science,1
Engineering,1
Python,1
Software Engineering,1
NLP,1
Entry Level,1
IT/Software Development,1
Analyst/Research,1
Engineering - Telecom/Technology,1
AI,1
Information Technology (IT),1
Computer Science,1
Engineering,1
Python,1
Software Engineering,1
NLP,1
Experienced,1
IT/Software Development,1
Analyst/Research,1
Engineering - Telecom/Technology,1
Data Analysis,1
Analysis,1
Computer Science,1
Information Technology (IT),1
SQL,1
Microsoft Office,1
Microsoft Excel,1
Entry Level,1
Creative/Design/Art,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Information Technology (IT),1
Software Development,1
Blockchain,1
Computer Science,1
Software Engineering,1
Engineering,1
ASP.NET,1
Experienced,1
IT/Software Development,1
Analyst/Research,1
Engineering - Telecom/Technology,1
Computer Science,1
Information Technology (IT),1
SQL,1
Python,1
Engineering,1
Data Analysis,1
Software Development,1
Not specified,1
IT/Software Development,1
Sales/Retail,1
Engineering - Telecom/Technology,1
Sales,1
